vehicle_id,lat,lon,direction,timestamp,stop_sequence,trip_id,route_id,agency
y3251,42.364823,-71.102914,0,2026-03-31 12:06:40,18,73604104,1,MBTA
y1903,42.331403,-71.076767,1,2026-03-31 12:06:47,20,73604114,1,MBTA
y1875,42.358715,-71.09335,0,2026-03-31 12:06:38,15,73604103,1,MBTA
y1854,42.347308,-71.088111,1,2026-03-31 12:06:45,12,73604080,1,MBTA
y1849,42.332378,-71.079953,1,2026-03-31 12:06:45,21,73604086,1,MBTA
y1829,42.366681,-71.106085,1,2026-03-31 12:06:44,6,73604074,1,MBTA
y1811,42.32989,-71.08407,0,2026-03-31 12:06:23,1,73604097,1,MBTA
y1807,42.333973,-71.073597,0,2026-03-31 12:06:43,6,73604099,1,MBTA
y1723,42.37309,-71.11768,1,2026-03-31 12:06:26,1,73604107,1,MBTA
y1902,42.33704,-71.08872,0,2026-03-31 12:06:32,1,73602547,23,MBTA
y1843,42.286654,-71.064777,0,2026-03-31 12:06:44,28,73602539,23,MBTA
y1838,42.295116,-71.07205,0,2026-03-31 12:06:46,23,73602541,23,MBTA
y1830,42.334543,-71.089679,0,2026-03-31 12:06:42,2,73603912,23,MBTA
y1825,42.306664,-71.081918,1,2026-03-31 12:06:46,13,73601353,23,MBTA
y1793,42.293193,-71.072003,1,2026-03-31 12:06:46,6,73601357,23,MBTA
y1786,42.328885,-71.084624,1,2026-03-31 12:06:46,26,73601349,23,MBTA
y1776,42.32862,-71.083687,0,2026-03-31 12:06:44,7,73602551,23,MBTA
y0869,42.310854,-71.083206,0,2026-03-31 12:06:40,15,73602544,23,MBTA
y1269,42.26708,-71.09182,1,2026-03-31 12:06:25,1,73766557,28,MBTA
y1262,42.305342,-71.084714,0,2026-03-31 12:06:33,17,73766502,28,MBTA
y1259,42.26745,-71.09186,1,2026-03-31 12:06:33,1,73766610,28,MBTA
y1258,42.29733,-71.08729,0,2026-03-31 12:06:26,20,73766503,28,MBTA
y1251,42.33671,-71.08984,0,2026-03-31 12:05:59,1,73766490,28,MBTA
y1216,42.308959,-71.082808,1,2026-03-31 12:06:10,21,73766501,28,MBTA
y1210,42.322418,-71.054432,1,2026-03-31 12:06:45,1,73766491,28,MBTA
y1209,42.329652,-71.086398,0,2026-03-31 12:06:49,5,73766492,28,MBTA
y1207,42.32157,-71.081779,1,2026-03-31 12:06:35,27,73766504,28,MBTA
y1201,42.26821,-71.09379,0,2026-03-31 12:06:33,34,73766536,28,MBTA
y1268,42.320956,-71.111891,0,2026-03-31 12:06:48,17,73767266,39,MBTA
y1263,42.329722,-71.111223,0,2026-03-31 12:06:43,14,73767262,39,MBTA
y1257,42.343461,-71.06396,0,2026-03-31 12:06:46,1,73767394,39,MBTA
y1254,42.331843,-71.112045,1,2026-03-31 12:06:40,13,73767348,39,MBTA
y1252,42.331158,-71.06584,0,2026-03-31 12:06:43,1,73767362,39,MBTA
y1250,42.300134,-71.11458,1,2026-03-31 12:06:46,1,73767291,39,MBTA
y1219,42.344233,-71.08317,1,2026-03-31 12:06:46,22,73767356,39,MBTA
y1215,42.349912,-71.078473,1,2026-03-31 12:06:48,24,73767387,39,MBTA
y1206,42.344509,-71.083055,0,2026-03-31 12:06:44,5,73767263,39,MBTA
y3293,42.349078,-71.156601,1,2026-03-31 12:06:41,16,73584531,57,MBTA
y3281,42.3634033203125,-71.18568420410156,1,2026-03-31 12:06:42,1,73584532,57,MBTA
y3276,42.363765716552734,-71.18531799316406,1,2026-03-31 12:06:37,1,73584823,57,MBTA
y3259,42.349378,-71.100816,0,2026-03-31 12:06:46,2,73584588,57,MBTA
y3256,42.34895,-71.09589,0,2026-03-31 12:06:00,3,73584592,57,MBTA
y3241,42.34904479980469,-71.0953598022461,0,2026-03-31 12:06:35,1,73584584,57,MBTA
y3225,42.352734,-71.1296,1,2026-03-31 12:06:46,26,73584529,57,MBTA
y3223,42.349064,-71.150008,0,2026-03-31 12:06:43,17,73584583,57,MBTA
y3204,42.352989,-71.131639,0,2026-03-31 12:06:45,11,73584587,57,MBTA
y3299,42.33201217651367,-71.11599731445312,0,2026-03-31 12:06:38,13,73583858,66,MBTA
y3278,42.332442,-71.099689,0,2026-03-31 12:06:46,7,73583859,66,MBTA
y3275,42.343678,-71.123823,1,2026-03-31 12:06:47,18,73583976,66,MBTA
y3273,42.335435,-71.119778,1,2026-03-31 12:06:47,23,73583977,66,MBTA
y3252,42.331501,-71.080106,0,2026-03-31 12:06:43,1,73583864,66,MBTA
y3244,42.371497,-71.121326,0,2026-03-31 12:06:42,31,73583856,66,MBTA
y3243,42.375702,-71.120297,1,2026-03-31 12:06:50,1,73583981,66,MBTA
y3234,42.375488,-71.119321,1,2026-03-31 12:06:41,1,73583979,66,MBTA
y3229,42.333469,-71.118782,1,2026-03-31 12:06:45,23,73583980,66,MBTA
y3227,42.361858,-71.130369,1,2026-03-31 12:06:47,6,73583982,66,MBTA
y3217,42.37535,-71.11931,1,2026-03-31 12:05:59,1,73584842,66,MBTA
y3209,42.33623504638672,-71.12077331542969,0,2026-03-31 12:06:43,15,73583855,66,MBTA
y2100,42.390981,-71.035019,0,2026-03-31 12:06:47,7,73901927,111,MBTA
y2096,42.36239,-71.05692,0,2026-03-31 12:06:21,1,73901702,111,MBTA
y2086,42.415607,-71.032765,1,2026-03-31 12:06:35,1,73901663,111,MBTA
y2082,42.404757,-71.035197,0,2026-03-31 12:06:49,16,73901674,111,MBTA
y2080,42.415319,-71.033935,1,2026-03-31 12:06:45,1,73901666,111,MBTA
y2034,42.39183,-71.03855,1,2026-03-31 12:06:34,21,73901696,111,MBTA
y2006,42.36624,-71.0583,0,2026-03-31 12:06:31,3,73901967,111,MBTA
y1946,42.36251,-71.05716,0,2026-03-31 12:06:21,1,73901888,111,MBTA
y1937,42.39687,-71.031808,1,2026-03-31 12:06:49,16,73901796,111,MBTA
y2065,42.360903,-71.118259,0,2026-03-31 12:06:46,14,73870795,64,MBTA
y1998,42.357631,-71.153873,1,2026-03-31 12:06:46,5,73870800,64,MBTA
y1993,42.384399,-71.074003,0,2026-03-31 12:06:49,1,73870787,64,MBTA
y1947,42.367999,-71.10212,1,2026-03-31 12:06:42,23,73870820,64,MBTA
y0783,42.298075,-71.057032,0,2026-03-31 12:06:44,3,74122377,201,MBTA
y1635,42.28555,-71.12905,1,2026-03-31 12:06:21,20,74213579,50,MBTA
y1676,42.306664,-71.107333,0,2026-03-31 12:06:46,17,74213178,42,MBTA
y1643,42.318422,-71.09572,1,2026-03-31 12:06:45,12,74213179,42,MBTA
y2027,42.407024,-71.133741,1,2026-03-31 12:06:26,10,73870318,87,MBTA
y2003,42.389164,-71.116497,0,2026-03-31 12:06:43,15,73870198,87,MBTA
